"rep","cell","pen","S_unc","S_dec","S_edge","tr","p_unc","p_R0","p_R2","pe_unc","pe_R0","pe_R2","nb","nbt"
238,"B_p100","gridge",52.1086378108307,3.62420880349894,0.10087224713269,6.06365964336879,0,0.780826748035832,0.566820759632467,0,0.95082657891214,0.916365771677442,0.21127913031131,2.55897761554685
239,"B_p100","gridge",45.6668833749714,6.03725864627661,2.07037008816785,6.06887236216365,0,0.437051506189162,0.223816825255825,0,0.25695848452986,0.141277181457083,0.18330821763509,2.44185165247589
240,"B_p100","gridge",48.1390442942384,4.35910153533548,0.852340816819861,6.08856724995023,0,0.678312518884101,0.445934199399917,0,0.592448431334469,0.459157428606707,0.196874557214206,2.59800001263119
241,"B_p100","gridge",42.3121185458984,4.66131300070898,0.0621742414572803,5.98974695258407,0,0.622097111490135,0.410739727257296,0,0.976549256247927,0.960697001986728,0.174126846350667,2.50577301410745
242,"B_p100","gridge",35.439985391957,2.92228345055406,0.209379738248135,6.0889089693565,1.97123137146704e-07,0.872148159928306,0.75442350644502,0,0.883863451150745,0.83826957729359,0.191540833354849,2.25143414985211
243,"B_p100","gridge",42.7565475658206,3.137614894879,0.984301096609259,6.07372098874228,8.23384793680049e-09,0.845810227325032,0.701195840530891,0,0.546347470283272,0.406015360585592,0.209059939993171,2.29915803692972
244,"B_p100","gridge",35.5273490666574,3.22005143444993,0.22372415712068,6.03796308905614,1.7257661033554e-07,0.833240328666391,0.689183555426563,3.31174332401929e-09,0.882577289204822,0.832060138253273,0.174613377421276,2.60466755441605
245,"B_p100","gridge",49.2165615436741,3.29565994283154,0.254267083467215,5.98526784290181,0,0.819400344515129,0.65662688667453,0,0.855673030503648,0.786278293288732,0.201878342464931,2.32773974797901
246,"B_p100","gridge",39.1306968451724,6.66052560453606,0.404929032770879,5.98795911060758,8.47829539907252e-09,0.350313933162061,0.16297880574556,1.75670378244064e-09,0.775823836858149,0.691451577036492,0.176462537971299,2.60661710686357
247,"B_p100","gridge",42.2808826783933,3.10817652010959,0.00460426879925863,5.98067134803443,0,0.843372184719792,0.690556209375729,0,0.999325849558629,0.998683252420633,0.22006655734944,2.21848771293787
248,"B_p100","gridge",54.888850771296,5.79314412815204,0.617717517015161,5.98227018018983,0,0.457977320152525,0.233111892386561,0,0.685829155819336,0.557946451198702,0.211321561040395,2.48901548598945
