"rep","cell","grouping","S_dec","S_edge","df_dec","df_edge","p_dec","p_edge","pnc_dec","pnc_edge","delta2_norm2","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10"
144,"B_p160_lam416","heavyx20",9.6241315085501,0.369985609608408,4.05380896705426,1.00029437433798,0.015277564595308,0.696472991760198,0.0173117474138649,0.700703413350982,0.0786153456666304,0.474171694268749,-1.63967646241403,0.965089921020559,1.23769378132142,-0.334205634418955,-1.4987352222053,0.417112073498733,-0.330610414110079,1.18050597621168,-0.461181742405885
144,"B_p160_lam416","heavyx100",8.46882181676497,0.297630013704987,4.04865300622684,1.01435464205816,0.0334268682450533,0.753319010731359,0.0367122593599305,0.757613144813707,0.0709924357692304,0.474171694268749,-1.63967646241403,0.965089921020559,1.18766546384729,-0.284142403254422,-1.25302875107215,-0.0943699086686097,-0.15866555049781,1.18291211377007,-0.359606518617362
144,"B_p160_lam416","pc1",2.97851484461612,2.30729645710145,3.94702595841805,1.28501065453484,0.642612628617829,0.147812159216044,0.646398390841219,0.15228119057619,0.0237894113910677,-0.0819134311641164,-0.292093326864383,-0.309398765905228,-0.0518851746849378,0.481624025790448,0.838956360305589,0.864406271424606,-0.810990246546809,0.0226656777063702,-0.668461115834452
144,"B_p160_lam416","oracleX",4.19002319859564,0.177806923231557,3.99925446267443,0.957619724033197,0.396285249602593,0.846365594307374,0.403210114674914,0.850778938254976,0.0366281964783283,-0.221805203417443,-0.0176487413168012,1.30895835336252,-0.908869366531625,-0.291676585929004,0.0940135113144402,-0.601701838837874,0.985850063249646,0.0318099503250977,-0.415003110719233
145,"B_p160_lam416","fitted",6.55183896608041,1.62120463659041,3.62858150291532,0.914343025245021,0.0712983928871127,0.167325571629696,0.0769555005797969,0.170144880960661,0.067171975243948,0.0425674550325978,-0.186537860004721,0.0561432744575634,-0.232660653038862,0.208461372175974,-1.54888329012266,0.0750847498485625,1.71063552177505,0.643993292232329,-0.817809879696178
145,"B_p160_lam416","heavyx5",4.44728854788104,0.890426224761325,3.63585828144437,0.872700358721341,0.279772586491507,0.360209695207909,0.289121614431666,0.364578134660985,0.0505896654795571,0.150069516074383,-0.362909696544777,0.39497466570965,-0.73130905146041,0.609501070688838,-0.927283035946341,-0.429614688050496,1.15239063658213,0.713719705085669,-0.590704802973936
145,"B_p160_lam416","heavyx20",3.90663340016363,0.653952210622578,3.63509658887922,0.87199164653329,0.37627044158025,0.474552999763496,0.385541820097287,0.480113236148258,0.046053848979554,0.150069516074383,-0.375085839407717,0.493757799931073,-0.725581398227923,0.5208979569073,-0.776954619268111,-0.53226740508041,0.99852264407698,0.745943893038686,-0.511249947108062
145,"B_p160_lam416","heavyx100",4.32659876966976,0.662687691613461,3.63032916320226,0.874096314761826,0.298429375890646,0.470622235265806,0.307826957390349,0.476158435928629,0.0497144196399741,0.150069516074383,-0.375085839407717,0.57890111255544,-0.868961660097921,0.580687333845688,-1.00594725469127,-0.229468831012693,0.923891365343859,0.745943893038686,-0.511249947108062
145,"B_p160_lam416","pc1",7.08185949207859,3.21268284629009,3.62536974075412,1.20068975965836,0.0481618551855956,0.0460429614344966,0.05249784517037,0.0493550468333388,0.0631884181421615,-0.858098683420602,-0.302425328871011,0.851328042337709,-0.101836767554154,0.0972794173188029,1.58741246975068,-0.0440138315379943,-0.785677635577259,0.858942254498518,-1.27772645899719
145,"B_p160_lam416","oracleX",3.90009080801811,0.878367926354419,3.59792175490048,0.830474309673877,0.369913723751613,0.346931948211101,0.378469291483748,0.351059809247692,0.0420828230637265,0.238110706426124,-0.430577925223173,0.720875814313967,-0.357796711648138,-0.779606093316789,-0.58785073448073,0.261357544610599,0.400407902936482,1.18678560943315,-0.647972097317574
