"rep","cell","S_dec","tr0","tr2","tr5","v2","meanv","a_hat","s_hat","rho_hat","c_hat","sd_eta0","sd_eh","sd_et","est_signal_sd","norm_bh","norm_bt","df_M","p0","p2","p5","pcalm"
43,"B_k25_ar07",5.72532858485271,5.9808183196614,4.15732597620306,3.73647635125214,5.72532858485271,"1.56 -0.74 -0.68 -0.1 -1.02 -0.55 0.75 0.5 0.3 0.19",0.439100682454004,0.366941609755832,0.767340165507717,4.89164255508355,2.30320490620717,0.594705361138886,1.70254787232356,2.14792358425824,0.294633798459379,2.6196008505819,15.1195688317408,0.467075204913519,0.200677282959518,0.140410666910457,0.171899339146439
44,"B_k25_ar07",3.44930038019066,5.98882046575723,4.27186781584331,4.06234725908345,3.44930038019066,"0.63 0.26 -1.09 -0.91 0.92 0.1 -0.09 -0.16 0.14 0.26",0.322977387217715,0.350001116686355,0.678166080016654,5.59811547369079,2.34389644613736,0.496564111531084,1.59078452766558,1.80806470903571,0.26630988322626,2.70160727793208,15.2032090417623,0.799068624678185,0.594674038520105,0.558456185196857,0.600954466634178
45,"B_k25_ar07",1.93632622041624,6.02945773027571,4.32211369310202,3.95099056985697,1.93632622041624,"-0.29 -0.09 0.3 -0.94 0.32 -0.16 0.74 0.36 -0.04 -0.24",0.384177865051311,0.362652417818474,0.72718531637526,5.13465567789651,2.28922212807728,0.548822203860024,1.63837416022564,1.97262105610787,0.276813459554788,2.5585332803552,15.1508771227027,0.959407811583173,0.892882896583499,0.864152860292328,0.883272840922201
46,"B_k25_ar07",3.27665206964583,5.95642438843283,4.08501549933882,3.70921622450907,3.27665206964583,"0.09 -0.3 -0.41 0.81 -0.66 0.51 -0.22 0.67 0.43 -0.99",0.412912348320847,0.371820811756713,0.743115414755257,5.19300470971718,2.21403284959896,0.57745967666967,1.66555360309258,2.14425576953054,0.288388616069307,2.66492937694717,15.1118986682667,0.819988075479348,0.599512062651494,0.527889709808088,0.571392286925504
47,"B_k25_ar07",4.37831390857243,6.18155972177235,4.26859860876024,3.74968719241002,4.37831390857243,"-0.06 -0.21 0.71 -1.51 0.47 0.05 1.01 -0.17 -0.48 0.16",0.396923108785942,0.39787150952705,0.706262512470968,5.7090808261397,2.28200175742389,0.582605592045596,1.69649534691973,2.26606610982158,0.282864779151356,2.6271647476346,15.139697518847,0.684870281336524,0.412576252544848,0.313679396321203,0.357463839861315
48,"B_k25_ar07",1.81469093716451,6.06871198558834,4.25239381531978,3.98322653934034,1.81469093716451,"0 -0.39 0.01 0.44 0.64 0.24 -0.56 -0.78 0.17 0.23",0.455155995192161,0.386004830059371,0.762664630540342,4.38357723202105,2.39240273471079,0.617515222969204,1.65440273240948,1.99521145754224,0.288425299515869,2.52007067485436,15.1433838950995,0.967254890368205,0.90575109268085,0.887049714670316,0.903425237930391
49,"B_k25_ar07",4.58314348781408,6.19830105547215,4.4943019635344,4.22620247605138,4.58314348781408,"-0.06 -0.1 -0.08 -0.19 0.75 -1.24 0.27 0.88 0.72 -1.03",0.377397587527699,0.371734507558043,0.712431813751969,4.91897437909894,2.28684002144679,0.548826941287575,1.60506843371484,1.8564090637825,0.269072910463284,2.53995603768345,15.1897091433774,0.657215449955761,0.41735077826053,0.369545792228837,0.414706273588824
50,"B_k25_ar07",1.89405177877278,6.02160750561979,4.20875564255559,3.66775518531611,1.89405177877278,"0.21 0.2 -0.88 0.02 -0.22 0.22 -0.37 0.87 -0.15 0.15",0.419981865145149,0.389326160822535,0.733365282003183,5.27557343595428,2.32235323242782,0.594515299107003,1.71353863673897,2.21564517134228,0.291791684306396,2.68627469606412,15.0410921131659,0.96163040900853,0.891121613906545,0.844478232132029,0.865767418643435
51,"B_k25_ar07",5.5903968789505,5.90279133570805,4.07524219993643,3.71741173592728,5.5903968789505,"-0.17 -0.18 0.84 -1.39 0.59 -0.55 -0.06 0.43 1.19 -0.78",0.48339265568629,0.388938927178851,0.779116546063216,4.38883027972592,2.35072875086701,0.641891803982937,1.70472324417322,2.12152832427312,0.296864800762632,2.53949571987111,14.8408156338034,0.475127937850581,0.203232037112093,0.150316996576076,0.182899769218572
52,"B_k25_ar07",3.81697469712121,6.01039564016406,4.26193547736171,4.03009393265161,3.81697469712121,"0.73 1.02 -0.81 -0.95 -0.7 0.02 0.3 0.24 0.22 0.05",0.349158426710796,0.365460994223311,0.690795866957218,5.34584230747845,2.2576759273952,0.524918683856588,1.5903175249415,1.86654588952319,0.267365836749986,2.68463995418489,15.1967219440039,0.749224565382514,0.517614193612361,0.474823750703325,0.519714196108759
