"rep","cell","grouping","prev","deg","hl","edge","S_p","tr_p","S_d","tr_d","v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","pb1","pb2","pb3","pb4","pb5","pb6","pb7","pb8","pb9","pb10"
448,"k25_prev50","heavyx20",0.5125,2,0.849174516171698,0.761425347316503,0.0584385399618724,0.46897482271269,2.09739583718613,3.87826175318352,0.0921814312919946,-0.406905669569471,0.564943017612766,0.000508812824389748,0.357328990054924,-0.36678046423577,0.335849849523229,-0.243657113216365,-0.901261587412016,0.59792729463923,0.300835686816993,0.376298842172947,0.42053028526795,0.454454206937759,0.489793872147129,0.516930488064803,0.560032335389897,0.610475214873369,0.65473425173934,0.740914816589812
448,"k25_prev50","pc1",0.5125,2,0.519172951630839,0.865158139164286,0.0325590176045826,0.499700115438289,3.72761117074028,3.93117569694181,0.212793484594533,0.342525752484573,-1.31097350621204,0.778023438634807,-0.163765841511697,-0.541048228887164,0.260046902068595,0.802073714523173,0.0827681938307343,-0.451314260733932,0.698053487182121,0.637698601484092,0.570435778751505,0.557642097251593,0.516696016245003,0.475065502116882,0.477658520526324,0.436432961886067,0.399214654932565,0.356102379623846
449,"k25_prev50","fitted",0.52,2,0.692026174218411,0.470393865776187,0.237621501299632,0.430670278765985,2.91251354254481,3.93162005659537,0.453445563644634,0.0362639400723517,-0.471564834934625,0.0287369605691145,-0.33647169210663,-1.13799087165019,0.834036024619316,0.328379415321938,0.49539500899101,-0.159011365333249,0.270150883199457,0.367764374065443,0.421838617850027,0.465341441504919,0.509081642761765,0.544771733566625,0.584980622544687,0.621676504937171,0.664085528860619,0.750308650709286
449,"k25_prev50","heavyx5",0.52,2,0.689524860947256,0.448499260677104,0.257946495638967,0.425565200165623,2.83362793317785,3.81047178698669,0.395593774747521,-0.125901775770586,0.188883231897235,-0.587087685996384,-0.46441682206679,-0.941037841522593,0.903935193471808,0.32409812464345,0.494100653855289,-0.115863396918427,0.271411334143592,0.368618761541058,0.423867481118979,0.465326493074253,0.508594089088732,0.542775052913727,0.585273811639677,0.622865783804321,0.662393574855659,0.748873617820001
449,"k25_prev50","heavyx20",0.52,2,0.735824631401367,0.332540669994827,0.420001953529914,0.433865579047157,2.6333113433524,3.82404224621549,0.497864449158479,-0.220591066625944,-0.172451768131196,-0.158651332700753,-0.662181277882914,-0.665172452849386,1.08405715360828,-0.170109255102859,0.420572648936316,0.141192055157139,0.273275250012276,0.366754845672375,0.426273637831903,0.465504309364186,0.508514041610243,0.545614937224725,0.58110308814225,0.622261863549503,0.663255940380215,0.747442086212323
449,"k25_prev50","pc1",0.52,2,0.518648208264547,0.211847119116667,0.711384914664513,0.450298074856065,3.66192397363038,3.85899867405266,0.702306067726634,-0.592597975545597,0.45352113227608,-0.375003780344726,0.541913464600805,-0.00260195279134767,0.358516829151671,-1.20044917676943,-0.438272835054345,0.644853435703228,0.708574464591625,0.63913284083159,0.594836660201473,0.58029990197075,0.528614600988167,0.50662776762491,0.463055741085676,0.459281972677757,0.417155895914722,0.302420154113329
450,"k25_prev50","fitted",0.4775,2,0.28248595214455,0.89310839065804,0.0186588611314736,0.423062457189222,4.69701744975956,3.63571683541112,0.416862358141624,-0.213727985413855,0.101496255202735,-1.62137876457212,-0.370942487198278,0.442735812906474,0.958201582336377,0.467443849881866,0.324860347593031,-0.512436713056486,0.266288440499959,0.345155199025211,0.384580147469861,0.423939642970244,0.457108809916761,0.493013719689003,0.525340263143465,0.563383155611822,0.618231223846807,0.697959397826865
450,"k25_prev50","heavyx5",0.4775,2,0.385817223213837,0.815875061041568,0.0366395782262,0.414164336380626,4.09711826421269,3.63969487450839,0.266457830942215,-0.634550362577537,0.670277903798288,-1.31796714227545,-0.0657981569223107,0.0499110921508885,0.47592442689876,1.02747182007991,-0.129386320456782,-0.362478597691485,0.266888121759889,0.347909287195365,0.383679427040473,0.426208011795532,0.454670325268174,0.493750469683286,0.524603419083577,0.562523049940973,0.618510057895212,0.696257830337517
450,"k25_prev50","heavyx20",0.4775,2,0.256034225033716,0.813792747185894,0.0372976592570971,0.415080186022965,4.82363607977246,3.59608355420674,0.365298659529718,-0.777067041852349,0.680146996057196,-1.18277711081986,-0.237202156598265,0.0572460719659795,0.361742800654302,1.34724947077121,-0.223573982303541,-0.411499525793284,0.268396807877187,0.347129300577105,0.384971109516919,0.424925794074105,0.456081336705352,0.494098799244903,0.524641323595413,0.560668411761364,0.619160701469567,0.694926415178085
450,"k25_prev50","pc1",0.4775,2,0.684339980845786,0.66357760533395,0.290500892334935,0.714909357729477,2.70799789598174,3.60461053676159,0.151091788963802,0.542462457977144,-0.363985053687912,-0.411183628592503,-0.535563748303796,-0.581251430734159,0.615066556283255,0.802712159624047,-0.56562812332766,0.349393682328156,0.537096196153639,0.488515264483068,0.475800579927008,0.483348238770387,0.484129289271532,0.462364684326427,0.438064405229349,0.462777508603236,0.460153311499587,0.482750521735766
451,"k25_prev50","fitted",0.515,2,0.266575364700866,0.479313839688593,0.256772844119783,0.485439664289506,5.5745948195399,4.21882837819302,0.354864659097113,-1.19556947351675,-0.669299989274221,1.15228138513256,0.126417343336342,-0.653960715882332,1.08969989583305,0.495520136511725,-0.182185054784269,-0.57770341493342,0.291357667876677,0.382235681008821,0.429226875262285,0.468028124722114,0.500952598690364,0.53385930647487,0.563886125371429,0.604428345293412,0.648160440581552,0.727864834718478
451,"k25_prev50","heavyx5",0.515,2,0.863059921096986,0.377578115530914,0.393178390563073,0.48670598675895,2.20157896065534,4.22791676548841,0.0886940160827123,-0.840823713345775,0.025391693973885,0.373082413088908,0.0502848351077048,-0.077798325892204,0.986416390972373,0.0592165687091165,-0.161565969107197,-0.579382417102161,0.291787029825574,0.383175819539012,0.430520555720084,0.468315230588616,0.502401517670339,0.530544618122715,0.565926031435892,0.603494386822862,0.646381247084304,0.727453563190602
451,"k25_prev50","heavyx20",0.515,2,0.578142318434289,0.323940677164809,0.49749075867596,0.49677430269449,3.72043926141505,4.24783186334897,0.0219552720093383,-0.682469048024577,-0.0825934121570286,0.542101271259078,-0.199500676713884,-0.246936748582796,1.54109052839201,-0.219469263941155,-0.11471241374184,-0.645316802594791,0.292799801167589,0.382671972167687,0.431633065300898,0.467884934959985,0.503228204710894,0.530515380303438,0.564982786529223,0.603746682854364,0.6464665866206,0.726070585385323
451,"k25_prev50","pc1",0.515,2,0.919289576334177,0.768397045443333,0.0809154203239184,0.5262334498183,1.80637975573677,4.22089440384363,0.0935920710448406,0.408510327583022,-0.500005411816002,-0.385630422379633,0.366397121575948,-0.461374213031294,0.395413812243257,0.29813756538557,-0.658414708135464,0.454051014619574,0.649990340900103,0.592475403172902,0.568478783493945,0.513597973792597,0.546638091590775,0.518526791578825,0.476087901819506,0.479035051841772,0.420549796533628,0.384619865275948
452,"k25_prev50","fitted",0.52,3,0.532841918054603,0.115095254442988,2.42667866084235,0.8777795824234,3.63118692023377,3.90364457849843,0.291651820377808,-1.01524968040599,-0.268086959417436,-0.367315054611998,0.00201959659287296,0.901282903415948,0.960413917139225,0.0399844374904668,0.105685515299956,-0.749082925185637,0.274754023155944,0.354278211279672,0.408310923017377,0.457794580678048,0.507636659619695,0.54431067075573,0.590594606173037,0.63006670660073,0.675538880429731,0.756714738290035
