"rep","cell","a_hat","a_or","s_hat","s_or","rho_hat","rho_or"
55,"B_k40",0.402390122396312,0.375114301989594,0.406475871730971,0.431775063365673,0.703526063603623,0.655837888635455
56,"B_k40",0.427046548293402,0.403343225069962,0.418693980175675,0.441574055210244,0.714055374465259,0.674421556072338
57,"B_k40",0.431850601281479,0.417099698828255,0.389508835312516,0.405265241355667,0.742572692580372,0.717208325088055
58,"B_k40",0.387419806304283,0.375421509588735,0.404442812395778,0.415604120472319,0.691745984219435,0.670322780151405
59,"B_k40",0.429460032283715,0.403586863543583,0.386772211346917,0.41369832773939,0.743071979720858,0.698305004281615
60,"B_k40",0.354791751686996,0.333020298162357,0.402414528061164,0.420609225376323,0.661328249502975,0.620746479548844
61,"B_k40",0.337041941315136,0.344292781131058,0.396039076870522,0.389752102592113,0.648104586828135,0.662047369511852
62,"B_k40",0.347552060869224,0.334369658134709,0.38819455684556,0.39960528111856,0.667029420602519,0.641729468600619
63,"B_k40",0.368369979681953,0.356756850098665,0.414807198751313,0.424836443792752,0.664013818742924,0.643080303669809
64,"B_k40",0.414642352422024,0.409038674885566,0.412341914313038,0.417901300750872,0.709071010401318,0.699488281407211
65,"B_k40",0.403744488094328,0.37650099085797,0.402952237466154,0.428517352307346,0.707800883960224,0.660040550396098
66,"B_k40",0.38939086972819,0.361174436967419,0.388721184060275,0.415069192359739,0.707715093733064,0.656431930956184
67,"B_k40",0.459747455873089,0.44424682225043,0.4251291262517,0.441301776667291,0.73420870706725,0.709454464220591
68,"B_k40",0.50038119080141,0.485190213794093,0.433301285326024,0.450246373013113,0.755960000101821,0.73300995483412
69,"B_k40",0.406192187066716,0.408326673658488,0.423348150723465,0.421289778102928,0.692334855902262,0.69597298463539
70,"B_k40",0.423074095088451,0.392137569562122,0.386234392165368,0.417608455570736,0.738529519076371,0.684525888071553
71,"B_k40",0.536162284884883,0.473353992983616,0.43091102687861,0.499089477093059,0.779461845778439,0.688152426008149
72,"B_k40",0.468906539820257,0.440461689806595,0.431879482996042,0.460854348717525,0.735551451966296,0.690931364695744
73,"B_k40",0.417456336445974,0.417648619506157,0.370258647115476,0.37004173984468,0.748132928674846,0.748477523489657
74,"B_k40",0.437155922427848,0.401751030264476,0.399076836508333,0.43469958779906,0.738540614945085,0.678726828858917
75,"B_k40",0.443437666071633,0.397212296401656,0.424663821243609,0.468186625558231,0.722230029187898,0.6469424461963
76,"B_k40",0.450069400190266,0.431191687167761,0.362928568583808,0.385166639001014,0.778438922215,0.745788076427861
77,"B_k40",0.438881633883906,0.394393616924527,0.427499728243032,0.46885688769353,0.716334437157532,0.643721923603863
78,"B_k40",0.426770463388378,0.406339490060897,0.329857992149459,0.354721781432511,0.791212504231665,0.753334434034441
79,"B_k40",0.326068592977998,0.317142048493055,0.403152108659396,0.410211251821299,0.628857219229448,0.611641449103106
80,"B_k40",0.390228731581601,0.395526610147174,0.408425002001773,0.403296597899634,0.690817010233954,0.700195777954153
81,"B_k40",0.327377326356408,0.292151148052515,0.387974083056567,0.415147575721516,0.644898778490133,0.575506925328243
82,"B_k40",0.348330780496595,0.321272358993492,0.40251011300543,0.424420540336785,0.654381815801488,0.603549273897843
83,"B_k40",0.435283860128085,0.382136892971909,0.379923128632664,0.43334168687978,0.753391188325607,0.661404187636193
84,"B_k40",0.504863638763627,0.475780320630454,0.398858821836208,0.433138245832667,0.78466935716483,0.739467471365204
85,"B_k40",0.336209392967337,0.306681640766108,0.393978264987445,0.417375131529169,0.649135589548466,0.592124943105734
86,"B_k40",0.322544276929578,0.310159768753362,0.351812047230304,0.362777404207129,0.675781438069783,0.649833928398305
87,"B_k40",0.467139502871839,0.444781751061585,0.395456258550425,0.420445194398319,0.76323772461869,0.726708423383531
88,"B_k40",0.278201969821614,0.263315226703544,0.35306834155451,0.364305752365701,0.618909166983309,0.585790991047291
89,"B_k40",0.470939287257052,0.431149827966822,0.38403767418979,0.428227244957,0.774985622414912,0.709507418094362
90,"B_k40",0.506022634822621,0.491269964079492,0.43285460661479,0.449528463852743,0.759908525392475,0.737754021821817
91,"B_k40",0.398404296545003,0.3844248264379,0.394199866549038,0.407844420227847,0.710847682679742,0.685904995020744
92,"B_k40",0.410233647981176,0.390453819404145,0.411963317198591,0.430756585052307,0.705617667676549,0.671595601041471
93,"B_k40",0.338564305232949,0.32620477367559,0.388843931445109,0.399269129073129,0.656663590955633,0.632691617981693
94,"B_k40",0.48150307355765,0.439966739427866,0.399873396953198,0.445166498777217,0.769303871990226,0.702940717881518
95,"B_k40",0.4250561435618,0.387050557421084,0.43212283773469,0.466470511470488,0.701253471429656,0.638552226856252
96,"B_k40",0.482760637598863,0.453081292220871,0.396574683917398,0.430170496173914,0.772709529993955,0.725204594356239
97,"B_k40",0.420612811237439,0.430135108146089,0.400157055754138,0.389903314921833,0.724504778139541,0.740906916697526
