"rep","cell","dep","rel","grouping","prev","hl","edge"
137,"k25_prev50","null",0,"pc1",0.52,0.923785640240363,0.98454258480237
138,"k25_prev50","null",0,"fitted",0.5025,0.339675863934909,0.0541285470696667
138,"k25_prev50","null",0,"pc1",0.5025,0.932138794186737,0.877656340481634
139,"k25_prev50","null",0,"fitted",0.4975,0.608140565416832,0.15109264886523
139,"k25_prev50","null",0,"pc1",0.4975,0.748168377395535,0.860441891313712
140,"k25_prev50","null",0,"fitted",0.5225,0.322568990818046,0.0520788981168853
140,"k25_prev50","null",0,"pc1",0.5225,0.0321019403031774,0.051562272583513
141,"k25_prev50","null",0,"fitted",0.51,0.824291236322735,0.854932434537658
141,"k25_prev50","null",0,"pc1",0.51,0.93342719182001,0.299108456340137
142,"k25_prev50","null",0,"fitted",0.515,0.089863208762979,0.199328031104094
142,"k25_prev50","null",0,"pc1",0.515,0.847180607863416,0.842509837512269
143,"k25_prev50","null",0,"fitted",0.5175,0.221198676190311,0.270214704996682
143,"k25_prev50","null",0,"pc1",0.5175,0.548062509356456,0.0378645313277869
144,"k25_prev50","null",0,"fitted",0.49,0.836353554516725,0.732339536944266
144,"k25_prev50","null",0,"pc1",0.49,0.533832757844396,0.72746153805587
145,"k25_prev50","null",0,"fitted",0.495,0.424738331690166,0.100179908614165
145,"k25_prev50","null",0,"pc1",0.495,0.518951724970402,0.485382482991443
146,"k25_prev50","null",0,"fitted",0.5175,0.674900479330308,0.128101564921411
146,"k25_prev50","null",0,"pc1",0.5175,0.888384412799533,0.900729304627996
147,"k25_prev50","null",0,"fitted",0.5125,0.682609601970216,0.280643607282291
147,"k25_prev50","null",0,"pc1",0.5125,0.396569271184879,0.913331458028332
148,"k25_prev50","null",0,"fitted",0.5225,0.928804290582291,0.419217270495729
148,"k25_prev50","null",0,"pc1",0.5225,0.159315990351172,0.400422681905546
149,"k25_prev50","null",0,"fitted",0.4975,0.615247247501098,0.994471089858585
149,"k25_prev50","null",0,"pc1",0.4975,0.894085547664594,0.871067252426209
150,"k25_prev50","null",0,"fitted",0.4725,0.0869845700523834,0.975233969656688
150,"k25_prev50","null",0,"pc1",0.4725,0.445878236012113,0.0927057887043652
151,"k25_prev50","null",0,"fitted",0.49,0.775637530493559,0.925576640264598
151,"k25_prev50","null",0,"pc1",0.49,0.779124447150996,0.125562779284423
152,"k25_prev50","null",0,"fitted",0.525,0.247251837457913,0.594557371568405
152,"k25_prev50","null",0,"pc1",0.525,0.680916605671961,0.234881375474903
153,"k25_prev50","null",0,"fitted",0.4875,0.220058864859473,0.741950832985631
153,"k25_prev50","null",0,"pc1",0.4875,0.139871620651706,0.224776532220507
154,"k25_prev50","null",0,"fitted",0.4725,0.257749626098868,0.601184864487271
154,"k25_prev50","null",0,"pc1",0.4725,0.844407440651772,0.727547256882879
155,"k25_prev50","null",0,"fitted",0.48,0.571260627583609,0.968134168782317
155,"k25_prev50","null",0,"pc1",0.48,0.0394372653393065,0.0178293495485301
156,"k25_prev50","null",0,"fitted",0.525,0.508548110709474,0.232184892623781
156,"k25_prev50","null",0,"pc1",0.525,0.995500527899035,0.723823919220304
157,"k25_prev50","null",0,"fitted",0.4925,0.511685287728003,0.596299384073425
157,"k25_prev50","null",0,"pc1",0.4925,0.455761024560222,0.522470939352063
158,"k25_prev50","null",0,"fitted",0.505,0.186823527640232,0.0992103704745682
158,"k25_prev50","null",0,"pc1",0.505,0.784094386594725,0.65969367089685
159,"k25_prev50","null",0,"fitted",0.4975,0.71808672698772,0.558459459630135
159,"k25_prev50","null",0,"pc1",0.4975,0.863703971094691,0.803634750220647
160,"k25_prev50","null",0,"fitted",0.5075,0.0117207917466056,0.630553318878135
160,"k25_prev50","null",0,"pc1",0.5075,0.796062119415636,0.800451803395722
161,"k25_prev50","null",0,"fitted",0.5125,0.311632167794557,0.236268384782361
161,"k25_prev50","null",0,"pc1",0.5125,0.970795694684512,0.937396168869342
162,"k25_prev50","null",0,"fitted",0.5125,0.327257663413088,0.322152455258838
162,"k25_prev50","null",0,"pc1",0.5125,0.723302048154872,0.587419089376339
163,"k25_prev50","null",0,"fitted",0.4875,0.69609134406873,0.861394395650943
163,"k25_prev50","null",0,"pc1",0.4875,0.897113484191234,0.271600942769113
164,"k25_prev50","null",0,"fitted",0.4825,0.0878197457987679,0.607846620371781
164,"k25_prev50","null",0,"pc1",0.4825,0.848787890867659,0.468148516102206
165,"k25_prev50","null",0,"fitted",0.4925,0.72485222400155,0.0981587261108826
165,"k25_prev50","null",0,"pc1",0.4925,0.467016546903415,0.0899391861444432
166,"k25_prev50","null",0,"fitted",0.5,0.138911231007982,0.10751997904536
166,"k25_prev50","null",0,"pc1",0.5,0.301662409492358,0.137091678235498
167,"k25_prev50","null",0,"fitted",0.4775,0.032844083850034,0.885176324509568
167,"k25_prev50","null",0,"pc1",0.4775,0.812434394636109,0.257378796094247
168,"k25_prev50","null",0,"fitted",0.515,0.188280791497071,0.292408653488195
168,"k25_prev50","null",0,"pc1",0.515,0.939431468446086,0.790109667378693
169,"k25_prev50","null",0,"fitted",0.5175,0.329938334187218,0.963390496074446
169,"k25_prev50","null",0,"pc1",0.5175,0.889636949941471,0.576455183758405
170,"k25_prev50","null",0,"fitted",0.52,0.191092148124152,0.585123180767384
170,"k25_prev50","null",0,"pc1",0.52,0.378554106593745,0.56216649149795
171,"k25_prev50","null",0,"fitted",0.5175,0.892758484866573,0.469232263910572
171,"k25_prev50","null",0,"pc1",0.5175,0.947075782500258,0.700622276198887
172,"k25_prev50","null",0,"fitted",0.5025,0.556523999752539,0.901535263462949
172,"k25_prev50","null",0,"pc1",0.5025,0.706349503832613,0.33374503788153
173,"k25_prev50","null",0,"fitted",0.5075,0.713775453184731,0.470528772551228
173,"k25_prev50","null",0,"pc1",0.5075,0.707563395031259,0.697334711530712
174,"k25_prev50","null",0,"fitted",0.4775,0.969098844708987,0.919773756167671
174,"k25_prev50","null",0,"pc1",0.4775,0.779639893411482,0.617711194397414
175,"k25_prev50","null",0,"fitted",0.4825,0.0322601201139668,0.557167596358006
