"rep","cell","dep","rel","calm_hl","calm_edge","deg","rho_hat","grp"
234,"S_k25_sparse5","quadratic",1,0.00941373458936456,0.00112061681218734,2,0.421772222159536,0.117834325117418
235,"S_k25_sparse5","quadratic",1,0.150361792437802,0.288621720731406,2,0.464750413789461,0.566079798708601
236,"S_k25_sparse5","quadratic",1,0.131056359122438,0.17823562376689,2,0.398673294114378,0.244728012580625
237,"S_k25_sparse5","quadratic",1,0.498643091933479,0.185750648260324,2,0.482139064575802,0.231681693891763
238,"S_k25_sparse5","quadratic",1,0.100693801854236,0.059701052128638,2,0.381938050030197,0.220651373408317
239,"S_k25_sparse5","quadratic",1,0.184140245089179,0.132178755480828,2,0.469628605674473,0.701494518980263
240,"S_k25_sparse5","quadratic",1,0.845665467970334,0.337183026091358,2,0.350421294948144,0.206113172947529
241,"S_k25_sparse5","quadratic",1,0.0622747317106704,0.0269772476675437,2,0.411983746979647,0.130901981532222
242,"S_k25_sparse5","quadratic",1,0.0281628004060155,0.0965215251648975,2,0.190513475981854,0.135995646621531
243,"S_k25_sparse5","quadratic",1,0.355019579815402,0.731887464614399,2,0.395979157025253,0.281114446155014
244,"S_k25_sparse5","quadratic",1,0.0137068208015643,0.000118084314512101,2,0.501607406913807,0.123700884496803
245,"S_k25_sparse5","quadratic",1,0.0657584832019962,0.0538266795347186,2,0.565738976957319,0.353607876292283
246,"S_k25_sparse5","quadratic",1,0.212339765051752,0.244113203111501,2,0.463158468232478,0.128739831400457
247,"S_k25_sparse5","quadratic",1,0.620273270874209,0.798938259589951,2,0.25221410948022,0.0375772556867129
248,"S_k25_sparse5","quadratic",1,0.313539198312108,0.0198145923068145,2,0.51573222751056,0.24682350803737
249,"S_k25_sparse5","quadratic",1,0.67862024853479,0.373426512274552,2,0.373664577067342,0.0524368137300582
250,"S_k25_sparse5","quadratic",1,0.879418548976444,0.515899232108809,2,0.3529579356106,0.401245959088481
251,"S_k25_sparse5","quadratic",1,0.839334007631654,0.755255674099429,2,0.461884672268081,0.299880224205182
252,"S_k25_sparse5","quadratic",1,0.205437227053912,0.373119791487345,2,0.433684343222105,0.307792656683473
253,"S_k25_sparse5","quadratic",1,0.275046017124971,0.757217173260333,2,0.554331437309601,0.446996333747293
254,"S_k25_sparse5","quadratic",1,0.503053563639222,0.538679802263515,2,0.582410079969581,0.428585896590655
255,"S_k25_sparse5","quadratic",1,0.776843610639222,0.525676855593027,2,0.424752338791192,0.00917005189949194
256,"S_k25_sparse5","quadratic",1,0.0712025496584501,0.0071429435210898,2,0.415173291291451,0.0301792402629
257,"S_k25_sparse5","quadratic",1,0.624503877720764,0.414340262126676,2,0.225475217525118,0.414708267090514
258,"S_k25_sparse5","quadratic",1,0.461081674532143,0.0642367464841673,2,0.464417785384771,0.0983868575833637
259,"S_k25_sparse5","quadratic",1,0.0862490425581089,0.00871229285174213,2,0.679648697500626,0.0264291649718902
260,"S_k25_sparse5","quadratic",1,0.991106964163935,0.731988449860541,2,0.5379339813688,0.430230082951796
261,"S_k25_sparse5","quadratic",1,0.76385566472793,0.194409597987534,2,0.432061819809538,0.441623461620495
262,"S_k25_sparse5","quadratic",1,0.562925592275271,0.209676570923874,2,0.350798630457187,0.255156401437522
263,"S_k25_sparse5","quadratic",1,0.19021655617538,0.679637682858356,2,0.566066465400549,0.750714119180833
264,"S_k25_sparse5","quadratic",1,0.875445884509843,0.183738102866665,2,0.435279468291104,0.0154130522822447
265,"S_k25_sparse5","quadratic",1,0.293845294546417,0.310637040281974,2,0.184485976297902,0.15970738777029
266,"S_k25_sparse5","quadratic",1,0.0653194399684699,0.0148659745314749,2,0.388592768681861,0.429035943474625
267,"S_k25_sparse5","quadratic",1,0.288888025941129,0.504953740629478,2,0.435150370144401,0.453636352744514
268,"S_k25_sparse5","quadratic",1,0.363866061675811,0.0773806316147694,2,0.323818484327291,0.12703546685194
269,"S_k25_sparse5","quadratic",1,0.51204194112532,0.12155912814604,2,0.458101386731889,0.192594583292677
270,"S_k25_sparse5","quadratic",1,0.773924705855295,0.158806259168959,2,0.435052024800774,1
271,"S_k25_sparse5","quadratic",1,0.761537668576545,0.334382547888558,2,0.609846282116111,0.364787198479762
272,"S_k25_sparse5","quadratic",1,0.155032623623202,0.0898855147904316,2,0.550562077159278,0.422028812597056
273,"S_k25_sparse5","quadratic",1,0.99015138890534,0.479142776856744,2,0.522886925935364,0.457704567061361
274,"S_k25_sparse5","quadratic",1,0.0111216006242342,0.000124714329258646,2,0.367010608905535,0.0200051190117512
275,"S_k25_sparse5","quadratic",1,0.792760283375154,0.954433494770477,2,0.459523764415161,0.146390408569008
276,"S_k25_sparse5","quadratic",1,0.155859867402126,0.00805149025352003,2,0.192548715757474,0.215897840570592
277,"S_k25_sparse5","quadratic",1,0.142804127382623,0.450503667875073,2,0.437113103761138,0.902680421764318
278,"S_k25_sparse5","quadratic",1,0.958801815948976,0.64519735742826,2,0.589424754944231,1
279,"S_k25_sparse5","quadratic",1,0.268071971879095,0.479734614569376,2,0.461403289663061,0.745683187274783
280,"S_k25_sparse5","quadratic",1,0.338143228801251,0.0336524322199738,2,0.428120415534015,0.235115916640311
281,"S_k25_sparse5","quadratic",1,0.0257598871739755,0.0234012619504589,2,0.643771314460381,0.239776905593553
282,"S_k25_sparse5","quadratic",1,0.530628219033949,0.266827080568502,2,0.409769653668956,0.909758108577384
283,"S_k25_sparse5","quadratic",1,0.800196007447147,0.524754346194738,2,0.459663235625358,1
284,"S_k25_sparse5","quadratic",1,0.40435422507198,0.93344833100152,2,0.620498929130938,0.33362679569056
285,"S_k25_sparse5","quadratic",1,0.0640663727803278,0.0332854780660194,2,0.451944361099832,0.414615014881772
286,"S_k25_sparse5","quadratic",1,0.763868852870452,0.808242533439309,2,0.271250957047711,0.462707906837494
287,"S_k25_sparse5","quadratic",1,0.00601846245481052,0.050437141045083,2,0.550312215212319,0.11518419531621
288,"S_k25_sparse5","quadratic",1,0.276207778973789,0.0249527516149478,2,0.436539396931046,0.39110153389097
289,"S_k25_sparse5","quadratic",1,0.160535066550374,0.519648862678075,2,0.360040778738717,0.326050932956874
290,"S_k25_sparse5","quadratic",1,0.506078720029005,0.750754158874445,2,0.439025707736969,0.258887418339086
291,"S_k25_sparse5","quadratic",1,0.141366842269658,0.919994895149892,2,0.412864690817544,0.322729916002312
292,"S_k25_sparse5","quadratic",1,0.347203419749829,0.18343447354109,2,0.213712269436094,0.479876028211275
293,"S_k25_sparse5","quadratic",1,0.982534819912894,0.88479352084269,2,0.436837098412318,0.237710760166737
294,"S_k25_sparse5","quadratic",1,0.901847362841572,0.333110039199248,2,0.529007475932225,0.644441904868993
