"rep","cell","dep","rel","deg","rho_hat","calm_hl","calm_edge","calm_e3","pp_hl","pp_edge"
100,"B_p40","null",0,3,0.797054420704128,0.20065159811782,0.697180338146299,0.697180338146299,0.22,0.7125
100,"B_p40","offindex",0.4,3,0.773988516037349,0.294019858564161,0.248278695137759,0.248278695137759,0.325,0.235
100,"B_p40","offindex",0.7,3,0.777182895812494,0.732915156175232,0.19116103577042,0.19116103577042,0.775,0.19
101,"A_p5","index",0.4,3,0.914957175982749,0.564174934901997,0.210769682337622,0.210769682337622,0.565,0.21
101,"A_p5","index",0.7,3,0.879910606748711,0.10977371181404,0.0259374095811388,0.0259374095811388,0.1275,0.0275
101,"A_p5","null",0,3,0.922941371856744,0.645264932939186,0.602736484166071,0.602736484166071,0.64,0.5975
101,"A_p5","offindex",0.4,3,0.925814560920083,0.842154217534762,0.420920227634585,0.420920227634585,0.815,0.4275
101,"A_p5","offindex",0.7,3,0.93321503180126,0.305240881199962,0.225834833970888,0.225834833970888,0.2725,0.23
101,"B_p100","index",0.4,2,0.693334657164346,0.628964522768673,0.401813751986949,0.74958871389158,0.575,0.6875
101,"B_p100","index",0.7,2,0.554793419646768,0.489425084840575,0.607361134540264,0.700485405361109,0.4,0.6175
101,"B_p100","null",0,2,0.711078266742326,0.813431499897822,0.216819125934995,0.560312437537185,0.795,0.53
101,"B_p100","offindex",0.4,2,0.653625303998243,0.363445963601125,0.0853118900958407,0.318635269874024,0.37,0.26
101,"B_p100","offindex",0.7,2,0.640002088341229,0.776562481314814,0.480013178264125,0.685725709704102,0.745,0.6375
101,"B_p160","index",0.4,2,0.635595600275227,0.503881920809569,0.234304307400581,0.431815475075551,0.395,0.35
101,"B_p160","index",0.7,2,0.607649922224459,0.93663974469334,0.980375423422986,0.951061108173657,0.91,0.9175
101,"B_p160","null",0,2,0.656036506878933,0.551826443404007,0.44509677229671,0.789026428264857,0.48,0.795
101,"B_p160","offindex",0.4,2,0.64168027614597,0.246418219632781,0.236441969051217,0.444003786594795,0.1575,0.305
101,"B_p160","offindex",0.7,2,0.636760901707465,0.254898430799827,0.0379738913878858,0.184167087318088,0.1525,0.085
101,"B_p40","index",0.4,2,0.690626006700268,0.508545589835302,0.312994347400465,0.58859643896187,0.5125,0.505
101,"B_p40","index",0.7,2,0.683484636323407,0.317184721956325,0.498955322703324,0.279621761357222,0.3,0.205
101,"B_p40","null",0,2,0.705902726249532,0.903298317629422,0.388641301832799,0.646127665228176,0.9025,0.6175
101,"B_p40","offindex",0.4,2,0.636700743427071,0.326523071108196,0.310748273158687,0.52061160185806,0.3025,0.4875
101,"B_p40","offindex",0.7,2,0.648666845757859,0.736863957870315,0.600427217391713,0.875036923367528,0.69,0.8825
102,"A_p5","index",0.4,3,0.948195842561985,0.733312375592067,0.141441882903073,0.141441882903073,0.7625,0.12
102,"A_p5","index",0.7,3,0.933007266671048,0.249931551567389,0.063954335162553,0.063954335162553,0.2225,0.0675
102,"A_p5","null",0,3,0.959100287039372,0.952377276401185,0.549857848749195,0.549857848749195,0.9475,0.57
102,"A_p5","offindex",0.4,3,0.961765125887133,0.895251122601712,0.925721234595759,0.925721234595759,0.905,0.9275
102,"A_p5","offindex",0.7,3,0.93087262410285,0.850682003098744,0.175784781533852,0.175784781533852,0.875,0.1675
102,"B_p100","index",0.4,2,0.745286837652067,0.222991491628034,0.105322675082833,0.182469314031677,0.1225,0.105
102,"B_p100","index",0.7,2,0.671714149100887,0.539157255404596,0.0680998461706048,0.233614287527367,0.45,0.115
102,"B_p100","null",0,2,0.758767471904894,0.50136980755883,0.0749998511135705,0.243079500890401,0.4625,0.175
102,"B_p100","offindex",0.4,2,0.656827081484667,0.386222937660772,0.977153409592833,0.7683563380723,0.3075,0.7025
102,"B_p100","offindex",0.7,2,0.75563574235964,0.333404904214507,0.280297701789084,0.62124168245052,0.26,0.555
102,"B_p160","index",0.4,2,0.720769319373587,0.643149335707397,0.551974638347186,0.443900311744885,0.5075,0.355
102,"B_p160","index",0.7,2,0.548317149529437,0.815159901992943,0.648821970253248,0.288280409233933,0.7175,0.16
102,"B_p160","null",0,2,0.715611044516031,0.731129621429418,0.558836072874831,0.877348747189348,0.6575,0.8425
102,"B_p160","offindex",0.4,2,0.627893659929467,0.113041658523476,0.360820491250431,0.723343630476924,0.0575,0.6375
102,"B_p160","offindex",0.7,2,0.689974662009792,0.132095676756141,0.358052856043559,0.57351729643215,0.11,0.56
102,"B_p40","index",0.4,2,0.704216716425487,0.332852412183919,0.343313664317133,0.220727230720333,0.33,0.175
102,"B_p40","index",0.7,2,0.658836215875375,0.467959969032225,0.279586293341516,0.518190874614729,0.4675,0.4475
102,"B_p40","null",0,2,0.702991169728435,0.688241270114487,0.679737531671579,0.713728530188342,0.715,0.685
102,"B_p40","offindex",0.4,2,0.652789466315602,0.839605064388956,0.658331403445373,0.85752927068173,0.85,0.86
