"rep","case","recal","ece","slope","intercept","brier","mae_true","auc","hl_heldout_p","sc_edge_p","sc_hl_p"
121,"index","linear",0.0328212490815213,1.43758846384825,-0.0749999523477515,0.235508559222333,0.0562284449922907,0.63529853166772,0.0411035643376774,0.44,0.745
121,"index","flexible",0.0301348355629157,1.27764621425356,-0.0648832313763109,0.234744825971883,0.0521603881846286,0.619001782310855,0.37029692248686,0.44,0.745
121,"offindex","oracle",0.00917044333588823,1.00854638657534,-0.0137118977394357,0.21158577724163,0,0.72169054484587,0.432996224442615,NA,NA
121,"offindex","none",0.0655394719249814,1.85351570828092,-0.0295900757766946,0.229371097406029,0.103440580875365,0.683009920653017,0.000790019639504409,0.46,0.795
121,"offindex","linear",0.0443153743991139,1.24052054484424,0.0672031597034075,0.225771769926176,0.0871174207765742,0.683009920653017,0.127199971153476,0.46,0.795
121,"offindex","flexible",0.0267479610551557,1.2277615751201,0.0554050618194696,0.223828357937595,0.0816320508226861,0.683009920653017,0.330106419243069,0.46,0.795
122,"correct","oracle",0.00616655378982061,0.996778425129369,0.0118504879752812,0.219461192942217,0,0.699776919333372,0.304526446986236,NA,NA
122,"correct","none",0.0769621519503786,2.07767493125724,0.398359441840518,0.230049634805415,0.0852648001128762,0.694364065083665,9.58820349850524e-06,0.955,0.88
122,"correct","linear",0.0349349735629272,0.767400147083379,0.0361648751806919,0.222682843570662,0.0459937442262085,0.694364065083665,0.000229235226455318,0.955,0.88
122,"correct","flexible",0.0414471959373175,0.732137607064674,0.0295182483845639,0.223260312085611,0.050877684650885,0.694364065083665,0.000447390095915177,0.955,0.88
122,"index","oracle",0.00576420747838212,1.02030939347409,0.00999035979058959,0.228395778421674,0,0.644617980116459,0.071374591449129,NA,NA
122,"index","none",0.0426410180572802,1.32232995551631,0.182715321121527,0.238719802697017,0.0683989013362614,0.623362620353047,6.32106994806856e-06,0.04,0.3
122,"index","linear",0.0284179828508531,1.00735257999974,0.0908911016733429,0.237461508418449,0.0669156622168396,0.623362620353047,0.000503541212457136,0.04,0.3
122,"index","flexible",0.0233541095004566,0.979634882167529,0.0930045806815407,0.236881646122696,0.0591407648464648,0.623362620353047,0.00076941230402338,0.04,0.3
122,"offindex","oracle",0.00791880287367012,0.985502327106743,-0.00269422244243597,0.214020678756172,0,0.71613575125155,0.250021761917811,NA,NA
122,"offindex","none",0.0791976381480253,2.09368160146336,0.262633917456879,0.231702599837159,0.108079617723843,0.68461327634819,1.3097562417555e-07,0.195,0.26
122,"offindex","linear",0.0277136662764037,1.12947937545898,0.0111276989918258,0.224664450652787,0.0764367678366413,0.68461327634819,0.166388819673657,0.195,0.26
122,"offindex","flexible",0.0360944621261687,1.10656083929147,0.00945650390060091,0.225222320631399,0.078574747329922,0.68461327634819,0.227943852884253,0.195,0.26
123,"correct","oracle",0.00666817713941487,1.02653155046253,-0.0133143205629624,0.218463482626495,0,0.703551016682287,0.976159453924516,NA,NA
123,"correct","none",0.045518624042173,1.51293854063177,-0.069196984953518,0.223033719444578,0.0536345201963561,0.696993551039083,0.154106350218677,0.885,0.63
123,"correct","linear",0.0450233434615991,1.42430936224276,-0.152401280810362,0.222950210736268,0.0522444041815731,0.696993551039083,0.152472453321487,0.885,0.63
123,"correct","flexible",0.0350582412816561,1.2101117503928,-0.139400358900284,0.22567768804934,0.0519176502340501,0.683441870727889,0.296315674291515,0.885,0.63
123,"index","oracle",0.0113705207535328,0.964901134236153,-0.00796882198482206,0.230135143680424,0,0.632414130028132,0.219525933870705,NA,NA
123,"index","none",0.0415482598915285,1.42380116433798,-0.00693821584648542,0.235305935382327,0.04215035134772,0.630825604937613,0.123001802427824,0.085,0.34
123,"index","linear",0.0442602242971268,1.19054247178719,0.010859234500004,0.234573263053548,0.04300780144463,0.630825604937613,0.268315871146503,0.085,0.34
123,"index","flexible",0.0213614348330259,1.34577896845049,-0.00188341080156908,0.232482122151509,0.0293869509259974,0.630825604937613,0.495807368564477,0.085,0.34
123,"offindex","oracle",0.00951164877794033,0.957512142077066,-0.0145996256072289,0.215486257653217,0,0.710660046043212,0.431651380682149,NA,NA
123,"offindex","none",0.0510627295368603,1.5203622955126,0.126349213915253,0.230174442154084,0.0988912886076749,0.672060365144841,5.87225953702972e-06,0.845,0.875
123,"offindex","linear",0.0232128064616956,1.12177630812399,0.0196028000754913,0.227714608064005,0.0854877862496583,0.672060365144841,0.000129634235405488,0.845,0.875
123,"offindex","flexible",0.0265588973974495,1.07854453358866,0.0254087173094227,0.228076766017578,0.0874937579780069,0.671010306621809,0.064245177689099,0.845,0.875
124,"correct","oracle",0.00816371116491764,0.984538112499264,-0.0151326477337079,0.220200948880219,0,0.69799501092822,0.619444110309748,NA,NA
124,"correct","none",0.0689835823959081,1.89446273411855,-0.219619696210139,0.227663075048723,0.0731178283277443,0.693741027405093,0.00901473946487793,0.88,0.045
124,"correct","linear",0.0265230066118074,0.815143053482595,-0.0140375772782122,0.222294946539252,0.0376576046279558,0.693741027405093,0.579828235868057,0.88,0.045
124,"correct","flexible",0.030307679486367,0.773708530432618,-0.00846558303387146,0.22293402926831,0.0400528895007059,0.693741027405093,0.502948720964574,0.88,0.045
124,"index","oracle",0.00937140511277732,0.981350654524819,0.0058148190244669,0.229026928436658,0,0.642693630774523,0.679642113907161,NA,NA
124,"index","none",0.0415292846203083,1.42556375259855,0.00464068070263234,0.234493437900694,0.046435811403182,0.637254829019316,0.000301458188904331,0.63,0.94
124,"index","linear",0.0453231321452567,0.873110004442277,0.0194726740111426,0.234061384341517,0.0560181642982822,0.637254829019316,9.01814520646948e-05,0.63,0.94
124,"index","flexible",0.0248136419333476,0.794582254511911,0.0150516171509237,0.232187163113261,0.0401676818301544,0.63501826007304,0.0281992871465517,0.63,0.94
124,"offindex","oracle",0.00658546595702401,1.02038864435782,0.00700885932152868,0.211226720653323,0,0.723422963719417,0.205766635714705,NA,NA
124,"offindex","none",0.062681785507332,1.87454186659248,-0.104863842928517,0.229266724879511,0.102298783999146,0.684778710855505,0.0187164812621262,0.005,0.015
124,"offindex","linear",0.0234793292156886,0.969536760935943,-0.0171349291877276,0.224225163393052,0.0812757018674904,0.684778710855505,0.995512054367145,0.005,0.015
124,"offindex","flexible",0.0112367026504575,0.955906703842231,-0.014375496345289,0.223261494394509,0.0787018622084584,0.684778710855505,0.789513118031504,0.005,0.015
125,"correct","oracle",0.00723145579921447,1.01565929515586,0.0175164732438038,0.218723102187428,0,0.703260209765277,0.491732003243121,NA,NA
125,"correct","none",0.0589070642099114,1.73498941054396,-0.020805621212441,0.223646056437325,0.057797365544437,0.701655418298611,0.000825873087076782,0.065,0.07
125,"correct","linear",0.0279767641455643,0.810774247293231,-0.0207416061342155,0.220111406223571,0.0347927590542443,0.701655418298611,0.345683251862709,0.065,0.07
