"rep","cell","kappa","hbar","sd_eh","law_obs","tr5","normD2","g_obs","nchanged","floor_est","S_dec","v2","p_none","p_kappa","p_obs","p_obs_sh","p_law"
39,"A_k01",0.01,0.00735384951007987,0.373973108780939,0.193338672144288,7.46509884771131,2.8409093338917,0.380558836774503,46,0.92,13.4439434990224,13.4439434990224,0.0713938640483605,0.0721946596963847,0.235224994502013,0.176501697669493,0.0735320098372545
40,"A_k01",0.01,0.00734361817001723,0.31216083361965,0.276715416942983,7.52616890524028,5.6863241030906,0.755540325321607,70,1.4,7.94574966939851,7.94574966939851,0.390902555308245,0.39277070530091,0.778675109784455,0.717078721629968,0.397991851989901
41,"A_k01",0.01,0.00740374228001802,0.374306179711778,0.195622405688055,7.41284293646416,1.9806276814494,0.26718867490185,46,0.92,10.5760342712515,10.5760342712515,0.178803185680065,0.180213491005519,0.341272210974018,0.265552970757791,0.182602021716358
42,"A_k01",0.01,0.00727938948174485,0.484907648753256,0.112678705455723,7.0246657827838,1.70093591058425,0.242137628063806,42,0.84,2.59091120635749,2.59091120635749,0.9377818486197,0.938214350979961,0.967674719234463,0.955861216046575,0.938450382899685
43,"A_k01",0.01,0.00738069551999035,0.358053318291005,0.212456086528853,7.46381182579304,1.48696773565791,0.199223636710578,56,1.12,7.27019798007217,7.27019798007217,0.453928805461218,0.455807218073523,0.592197708275685,0.491399324722006,0.459402186329173
44,"A_k01",0.01,0.00726485133643815,0.483936264086272,0.112680076342111,7.04272996172572,2.03959322760671,0.289602645379142,40,0.8,13.5920646488505,13.5920646488505,0.051491900439347,0.0521238243907507,0.152448770209062,0.107683419946606,0.0524727023014546
45,"A_k01",0.01,0.00738230669382001,0.365351323095649,0.204142205724489,7.4154888391609,1.16727750365769,0.157410728945251,52,1.04,4.91677452121978,4.91677452121978,0.725556477644801,0.726953155169915,0.802288584637497,0.735373420588607,0.729456966078059
46,"A_k01",0.01,0.00731752525883366,0.374139681771239,0.191262980733404,7.40789329202052,2.24978986860294,0.303701711122962,46,0.92,7.56284530863577,7.56284530863577,0.417028454414967,0.418905690415257,0.618040387444824,0.544974077724728,0.421956478052233
47,"A_k01",0.01,0.00740951202350225,0.427425494781502,0.150254806087692,7.33229164955873,2.43854741716126,0.332576434996011,28,0.56,5.83411303239576,5.83411303239576,0.606406964802318,0.608109743172113,0.78164874086306,0.750792617559012,0.609916749773678
48,"A_k01",0.01,0.00740073796821947,0.366992155551047,0.203332358075665,7.44604022634888,2.45822620414664,0.330138721981095,52,1.04,14.1700955326059,14.1700955326059,0.0546019106301754,0.0552652553957017,0.177128729351552,0.118825172567352,0.0564669220668725
49,"A_k01",0.01,0.00744274013748932,0.422892543399318,0.154872982165358,7.35260801195828,2.85590401987685,0.388420546183342,60,1.2,6.00393328493216,6.00393328493216,0.587959028916805,0.589698402008719,0.78946983625389,0.722253043581428,0.591654341036255
50,"A_k01",0.01,0.00744483770791685,0.39213852827412,0.180219360788523,7.38271645574369,1.56953245112524,0.212595520975772,42,0.84,2.33770242621795,2.33770242621795,0.960961644298729,0.961248292837555,0.978775593397577,0.970898918037781,0.96166726272888
51,"A_k01",0.01,0.007340165491681,0.475864342942892,0.118963951144409,7.25567670894865,3.84306075648401,0.529662622887296,44,0.88,9.74977737822468,9.74977737822468,0.215866212133443,0.217410333225575,0.533296513476314,0.469673401468056,0.21839273007096
52,"A_k01",0.01,0.00734236918749285,0.387758917291641,0.179274637015015,7.35497732394803,2.29657319450712,0.312247488109774,42,0.84,11.2754362013192,11.2754362013192,0.139349893477436,0.140577785283893,0.313450991450566,0.248250896055894,0.14238266158707
53,"A_k01",0.01,0.00736299508044846,0.349469629693586,0.221952553259646,7.57408393642844,5.81504439248185,0.767755472647156,50,1,9.37212315081657,9.37212315081657,0.271646726983227,0.273350565873108,0.692766663900288,0.642053721297104,0.276845862262137
54,"A_k01",0.01,0.00734222896328176,0.391128641533571,0.176192173227256,7.41291234162805,1.01598666644764,0.137056344338816,40,0.8,5.15523918634462,5.15523918634462,0.696520741172914,0.6980048491141,0.769707102428376,0.714013065169923,0.700102615644561
55,"A_k01",0.01,0.00743426230063718,0.411091878629898,0.163518905032248,7.23307747287343,1.17747111540171,0.162789783438327,48,0.96,4.80511234599928,4.80511234599928,0.723622727068871,0.725022076352229,0.802725380500516,0.740597314523004,0.726758000809378
56,"A_k01",0.01,0.00734638893259511,0.405142858739716,0.164399867053633,7.27667980267585,2.58819778399366,0.355683890754943,38,0.76,4.24221136507151,4.24221136507151,0.793338195483541,0.794486510046605,0.90452670155597,0.881567567122538,0.7959235124333
57,"A_k01",0.01,0.00737938637739207,0.352049066674103,0.2196868744698,7.48617281256545,2.8513576170336,0.380883221430266,64,1.28,3.14862747749374,3.14862747749374,0.910624971024627,0.911217094874052,0.965511024708811,0.948378203962858,0.912399239956378
58,"A_k01",0.01,0.0074181782432955,0.478756128646157,0.120042723478336,7.13683926013216,5.17655146830891,0.725328297251444,40,0.8,13.1672490922191,13.1672490922191,0.0642344855065615,0.0649747580992475,0.380542651179022,0.329264711568562,0.0654586110333711
59,"A_k01",0.01,0.00743096022556057,0.379322300796288,0.191885927443673,7.40903309019453,3.23131429611836,0.436131713380365,62,1.24,9.00428410610985,9.00428410610985,0.284375545654302,0.28610742633939,0.561937712195471,0.466945800906565,0.288943736521877
60,"A_k01",0.01,0.00742470803561571,0.374428649500362,0.196603218046476,7.4801950580514,3.66301548542651,0.48969518267893,60,1.2,7.59423058002632,7.59423058002632,0.421441765830738,0.423320500218924,0.709246426695779,0.635518181458162,0.426510776849187
1,"B_k10",0.1,0.0165736226041974,0.59301210630446,0.312440815686764,3.64816828002404,5.05836675106984,1.38654973203059,46,1.15,1.98112968336553,1.98112968336553,0.821256431248574,0.831179051723413,0.985717289610684,0.977326255696237,0.825600542622213
2,"B_k10",0.1,0.016898698881363,0.461280644512125,0.53682911553171,4.28377501695003,2.92606082233778,0.683056605624699,74,1.85,2.7992241177834,2.7992241177834,0.731906493797612,0.745251232076649,0.92754090105232,0.84015464579012,0.741829989178742
3,"B_k10",0.1,0.0174567570605592,0.443302905391474,0.620277420394219,4.20716217391235,8.01483926341721,1.90504642609581,88,2.2,5.38400268382671,5.38400268382671,0.248359485287585,0.264732597289662,0.897354503537654,0.829006511669497,0.262322542827802
4,"B_k10",0.1,0.0170565029997792,0.491820058901221,0.481091303389239,4.74954600911895,5.10759108542157,1.07538511588585,76,1.9,5.80077124758224,5.80077124758224,0.281101972823541,0.29821037521098,0.787514177266196,0.66493937128123,0.292426960202278
5,"B_k10",0.1,0.0170177743766094,0.488851984782224,0.484742109641671,4.61385604831515,11.0808519330806,2.40164665239763,80,2,1.39424938571423,1.39424938571423,0.965688495095989,0.968132180665004,0.999542191630408,0.999230239782398,0.96734172443448
6,"B_k10",0.1,0.0168200653555897,0.582699992893364,0.33329233322858,4.09490492820355,5.9407184350619,1.45075857418456,56,1.4,10.1306345550211,10.1306345550211,0.0123802027092037,0.0145394477844327,0.423554794845972,0.309947681827982,0.0133411378162636
7,"B_k10",0.1,0.0175260955319435,0.409947224848948,0.731096052584429,4.33740106067459,16.3324992706785,3.76550359125385,98,2.45,2.10973917438367,2.10973917438367,0.866382402280491,0.87433011450288,0.999223869521383,0.998752659551385,0.874370386568165
8,"B_k10",0.1,0.0170613282844366,0.478639189952023,0.508240372533335,3.79082209138585,6.49691412005562,1.71385360838194,82,2.05,6.36356888322434,6.36356888322434,0.0986590366677604,0.108668092982444,0.761686229632782,0.62535524978646,0.105613665770011
9,"B_k10",0.1,0.0172465864013721,0.470209249737697,0.538125970497169,4.39069559520371,5.67529440719636,1.29257296119456,70,1.75,5.18907366751379,5.18907366751379,0.30473643027508,0.322222564991718,0.844624066078048,0.756782962801441,0.317687811942746
10,"B_k10",0.1,0.0171444624113614,0.553072362023123,0.384364988883891,4.91084042191282,2.74178661426466,0.558313115211491,64,1.6,2.90247315816978,2.90247315816978,0.784750243834119,0.79619809028898,0.931863542930251,0.870716723003092,0.790889957981038
11,"B_k10",0.1,0.0169412109287989,0.563435787879918,0.361626321219372,4.5047921253223,9.92773519183505,2.20381649488982,60,1.5,3.99232071820901,3.99232071820901,0.524507976481179,0.542344925655506,0.973504053097419,0.962688550021732,0.53345493133859
12,"B_k10",0.1,0.0169278823464171,0.553990638974648,0.373474025269222,4.35332877930322,3.81447789233006,0.876220953139356,50,1.25,6.54888473836926,6.54888473836926,0.150207695143387,0.163037597842556,0.599020616837417,0.474593361959777,0.156760707201898
13,"B_k10",0.1,0.0170941445693379,0.451804393724128,0.572603286524495,4.78858514737751,7.16187288219296,1.49561356053472,86,2.15,5.14537440742848,5.14537440742848,0.376738963439932,0.395090644402658,0.903489043537002,0.838363518468079,0.391215035674427
14,"B_k10",0.1,0.0172847141187733,0.496730156892336,0.484332194951168,4.89965452960518,6.00473750083351,1.22554303870836,80,2,4.46008619578585,4.46008619578585,0.505634588832638,0.523769646064613,0.916336553876025,0.856434930166164,0.517778275976682
15,"B_k10",0.1,0.0171257130140804,0.533024563273312,0.41291710076846,4.07134554986361,2.62715855766479,0.645280172240059,82,2.05,2.82178215003538,2.82178215003538,0.697032724116636,0.711455274686238,0.908940834783245,0.772021453347769,0.70531553152197
16,"B_k10",0.1,0.016925714231077,0.504610325879173,0.450030276881035,4.06277757771945,3.1062882139803,0.764572550320105,62,1.55,4.50016956249278,4.50016956249278,0.35322870233655,0.371352698284776,0.753877114614735,0.600082450767708,0.364474684898025
17,"B_k10",0.1,0.0170965454485057,0.550695112704853,0.385526536848162,4.20963978438493,3.10454420257348,0.737484526369537,60,1.5,3.98451840474121,3.98451840474121,0.474136983005054,0.492395231948409,0.821345814566715,0.702252959373137,0.483882219919373
18,"B_k10",0.1,0.016723729638066,0.573445336966272,0.340206193798411,4.45652282318795,4.21620199835611,0.946074364618662,62,1.55,1.18325212705797,1.18325212705797,0.976641681000137,0.978354369301311,0.997629524873952,0.995200719650949,0.977462855564371
19,"B_k10",0.1,0.0169006382621857,0.593267836229228,0.324612019230118,4.83092446846808,4.45599333229339,0.922389360748257,50,1.25,3.06873953730028,3.06873953730028,0.747184444907843,0.759989604533958,0.954498982745134,0.930454481205799,0.752992770351049
